year,che_total_actual,che_total_forecast
2000-12-31,15337.904497128604,
2001-12-31,15945.423827896075,
2002-12-31,17142.91333840278,
2003-12-31,19393.13804822672,
2004-12-31,21591.790859801957,
2005-12-31,23210.136935036404,
2006-12-31,24925.914982981532,
2007-12-31,27638.764534672115,
2008-12-31,30315.313647901112,
2009-12-31,31060.256468757143,
2010-12-31,32691.816521810266,
2011-12-31,35657.679839383716,
2012-12-31,36431.48517110675,
2013-12-31,37166.06746392198,
2014-12-31,38527.566510757555,
2015-12-31,37420.30058062068,
2016-12-31,38584.12960889865,
2017-12-31,40348.96239361208,
2018-12-31,42358.94486848696,
2019-12-31,43560.41128279211,
2020-12-31,47023.963177544225,
2021-12-31,,48001.62380027165
2022-12-31,,49102.4748696591
2023-12-31,,49570.509132251296
2024-12-31,,49950.3967057818
2025-12-31,,50146.403864936205
2026-12-31,,50284.075357894835
2027-12-31,,50362.07610914908
2028-12-31,,50413.29698823363
2029-12-31,,50443.65741211792
2030-12-31,,50462.96976154669
